"date","difficulty","median_sec","vs_weekday"
"2016-08-11","Very Hard",3404,33
"2016-08-12","Average",1923,-5
"2016-08-13","Hard",2240,2
"2016-08-14","Hard",89,8
"2016-08-15","Very Easy",394,-50
"2016-08-16","Very Easy",508,-46
"2016-08-17","Easy",795,-20
"2016-08-18","Easy",1585,-18
"2016-08-19","Very Easy",1295,-31
"2016-08-20","Hard",2686,9
"2016-08-21","Average",2902,-14
"2016-08-22","Average",618,-2
"2016-08-23","Easy",608,-22
"2016-08-24","Easy",767,-19
"2016-08-25","Average",1951,-5
"2016-08-26","Hard",2095,0
"2016-08-27","Hard",2467,3
"2016-08-28","Hard",3162,-1
"2016-08-29","Very Easy",448,-27
"2016-08-30","Hard",891,6
"2016-08-31","Average",1069,-5
"2016-09-01","Average",1470,-13
"2016-09-02","Hard",2133,1
"2016-09-03","Hard",3007,11
"2016-09-04","Average",2890,-3
"2016-09-05","Hard",707,7
"2016-09-06","Very Easy",515,-42
"2016-09-07","Very Easy",550,-52
"2016-09-08","Hard",2350,6
"2016-09-09","Average",2872,1
"2016-09-10","Average",1684,-12
"2016-09-11","Average",67,-3
"2016-09-12","Average",595,-7
"2016-09-13","Hard",1169,17
"2016-09-14","Very Easy",691,-27
"2016-09-15","Very Hard",76,93
"2016-09-16","Hard",1902,2
"2016-09-17","Easy",1397,-26
"2016-09-18","Average",2664,-10
"2016-09-19","Average",595,-7
"2016-09-20","Average",722,-9
"2016-09-21","Very Hard",1525,32
"2016-09-22","Average",1939,-7
"2016-09-23","Average",1966,-9
"2016-09-24","Average",2013,-2
"2016-09-25","Average",2458,-18
"2016-09-26","Average",535,-6
"2016-09-27","Hard",780,2
"2016-09-28","Very Hard",1495,46
"2016-09-29","Average",1895,-9
"2016-09-30","Average",1638,-14
"2016-10-01","Hard",2435,11
"2016-10-02","Average",2648,-16
"2016-10-03","Hard",723,15
"2016-10-04","Average",714,-14
"2016-10-05","Average",925,-4
"2016-10-06","Hard",2794,3
"2016-10-07","Very Easy",1300,-29
"2016-10-08","Average",2000,-7
"2016-10-09","Hard",61,-1
"2016-10-10","Very Easy",433,-34
"2016-10-11","Easy",550,-25
"2016-10-12","Very Easy",742,-27
"2016-10-13","Very Easy",1337,-31
"2016-10-14","Average",1626,-12
"2016-10-15","Hard",2864,13
"2016-10-16","Hard",3221,5
"2016-10-17","Average",517,-7
"2016-10-18","Hard",1045,7
"2016-10-19","Average",873,-10
"2016-10-20","Easy",1582,-22
"2016-10-21","Hard",2074,3
"2016-10-22","Average",2111,-5
"2016-10-23","Hard",74,12
"2016-10-24","Average",483,-16
"2016-10-25","Hard",872,7
"2016-10-26","Very Easy",581,-41
"2016-10-27","Average",2013,-7
"2016-10-28","Easy",1391,-23
"2016-10-29","Average",1816,-18
"2016-10-30","Average",3153,-9
"2016-10-31","Easy",493,-17
"2016-11-01","Very Hard",1626,22
"2016-11-02","Hard",1238,5
"2016-11-03","Hard",2891,3
"2016-11-04","Easy",1317,-19
"2016-11-05","Very Easy",1455,-28
"2016-11-06","Very Hard",95,31
"2016-11-07","Average",523,-10
"2016-11-08","Hard",1642,12
"2016-11-09","Very Easy",544,-45
"2016-11-10","Average",2138,-7
"2016-11-11","Average",1926,-2
"2016-11-12","Hard",2677,9
"2016-11-13","Average",2897,-14
"2016-11-14","Easy",474,-18
"2016-11-15","Hard",1012,4
"2016-11-16","Very Easy",539,-37
"2016-11-17","Easy",1739,-17
"2016-11-18","Average",1780,-1
"2016-11-19","Average",2150,-2
"2016-11-20","Hard",86,6
"2016-11-21","Average",480,-16
"2016-11-22","Very Easy",586,-36
"2016-11-23","Easy",731,-18
"2016-11-24","Very Easy",1238,-31
"2016-11-25","Average",1611,-4
"2016-11-26","Very Easy",1329,-31
"2016-11-27","Very Hard",73,16
"2016-11-28","Average",496,-12
"2016-11-29","Hard",973,9
"2016-11-30","Average",806,-11
"2016-12-01","Very Easy",1132,-37
"2016-12-02","Hard",2163,11
"2016-12-03","Easy",1474,-25
"2016-12-04","Average",3180,-5
"2016-12-05","Hard",583,2
"2016-12-06","Easy",644,-21
"2016-12-07","Average",918,-2
"2016-12-08","Very Easy",1177,-33
"2016-12-09","Very Easy",1290,-28
"2016-12-10","Hard",2466,7
"2016-12-11","Very Easy",1582,-44
"2016-12-12","Hard",681,9
"2016-12-13","Easy",649,-26
"2016-12-14","Average",756,-11
"2016-12-15","Hard",2024,5
"2016-12-16","Hard",2567,17
"2016-12-17","Easy",1496,-18
"2016-12-18","Average",86,-1
"2016-12-19","Hard",662,2
"2016-12-20","Average",883,-1
"2016-12-21","Very Hard",1242,23
"2016-12-22","Average",1867,-2
"2016-12-23","Very Hard",3177,19
"2016-12-24","Hard",2591,12
"2016-12-25","Hard",62,3
"2016-12-26","Very Hard",954,28
"2016-12-27","Very Easy",624,-31
"2016-12-28","Hard",958,4
"2016-12-29","Average",1565,-16
"2016-12-30","Average",1513,-12
"2016-12-31","Very Hard",60,31
"2017-01-01","Average",2830,-7
"2017-01-02","Average",553,-6
"2017-01-03","Average",850,-5
"2017-01-04","Hard",1016,2
"2017-01-05","Easy",1457,-20
"2017-01-06","Very Hard",2737,23
"2017-01-07","Hard",2953,15
"2017-01-08","Average",2502,-14
"2017-01-09","Easy",469,-20
"2017-01-10","Hard",1090,8
"2017-01-11","Hard",1498,13
"2017-01-12","Very Easy",1098,-32
"2017-01-13","Very Easy",1231,-28
"2017-01-14","Very Easy",1407,-29
"2017-01-15","Easy",2446,-21
"2017-01-16","Average",591,-6
"2017-01-17","Average",836,-3
"2017-01-18","Average",837,-15
"2017-01-19","Hard",2034,9
"2017-01-20","Easy",1515,-21
"2017-01-21","Average",2251,-1
"2017-01-22","Average",3384,0
"2017-01-23","Average",520,-14
"2017-01-24","Average",943,1
"2017-01-25","Average",1022,0
"2017-01-26","Very Hard",2178,24
"2017-01-27","Average",1722,-14
"2017-01-28","Easy",1523,-19
"2017-01-29","Very Easy",1975,-29
"2017-01-30","Average",502,-12
"2017-01-31","Hard",1113,14
"2017-02-01","Average",788,-16
"2017-02-02","Very Easy",959,-36
"2017-02-03","Easy",1362,-22
"2017-02-04","Easy",1705,-17
"2017-02-05","Average",2992,-9
"2017-02-06","Average",548,-9
"2017-02-07","Very Easy",630,-30
"2017-02-08","Very Hard",2230,30
"2017-02-09","Easy",1181,-25
"2017-02-10","Very Easy",1199,-31
"2017-02-11","Very Hard",3425,22
"2017-02-12","Very Hard",64,21
"2017-02-13","Average",568,-10
"2017-02-14","Average",674,-16
"2017-02-15","Easy",822,-20
"2017-02-16","Very Easy",945,-37
"2017-02-17","Hard",2246,8
"2017-02-18","Hard",2464,10
"2017-02-19","Hard",76,16
"2017-02-20","Hard",1042,13
"2017-02-21","Average",756,-8
"2017-02-22","Easy",817,-20
"2017-02-23","Average",1448,-11
"2017-02-24","Average",1892,-9
"2017-02-25","Hard",2763,7
"2017-02-26","Average",2943,-5
"2017-02-27","Average",499,-16
"2017-02-28","Average",808,-2
"2017-03-01","Very Easy",615,-38
"2017-03-02","Easy",1094,-24
"2017-03-03","Average",1810,-5
"2017-03-04","Average",1900,-13
"2017-03-05","Hard",3208,2
"2017-03-06","Average",581,-4
"2017-03-07","Hard",1007,2
"2017-03-08","Hard",1101,2
"2017-03-09","Average",1213,-14
"2017-03-10","Average",1529,-8
"2017-03-11","Easy",1549,-26
"2017-03-12","Hard",76,16
"2017-03-13","Easy",448,-23
"2017-03-14","Hard",1249,13
"2017-03-15","Hard",1387,15
